ImageNumber,ObjectNumber,Metadata_ImageBaseName,Metadata_batch,Metadata_batchpath,Metadata_posNum,Metadata_treatment,Metadata_wellNum,AreaShape_Area,Intensity_IntegratedIntensity_copB2_bgCorr,Intensity_IntegratedIntensity_copB2_saturated_bw
1,1,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,5407,240.60178005695343,0.0
1,2,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,11515,447.91455299779773,0.0
1,3,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,9974,614.51682969927788,0.0
1,4,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,10941,613.81131045520306,1.0
1,5,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,9222,639.32455853372812,0.0
1,6,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,8779,564.43817351013422,24.0
1,7,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,5791,53.588327150791883,0.0
1,8,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,16823,779.850710619241,9.0
1,9,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,9333,430.74079010635614,0.0
1,10,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,18043,700.18409350886941,0.0
1,11,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,8421,392.20036260783672,0.0
1,12,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,8445,519.3692145049572,0.0
1,13,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,12455,567.3084974847734,0.0
1,14,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,19625,674.50647907331586,0.0
1,15,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,18417,599.21853886917233,0.0
1,16,Well1_001--neg9--well_001--W0001--P001--T00000--Z000,Well1_001,I:\scripts\cellprofiler\cellprofiler-sanjana\example-data\Well1_001,001,neg9,001,17167,783.87001757696271,12.0
